"Party Name","GST/IN","Email/EmailCC","Phone/Mobile Numbers","Address"
"Shanmuga College Canteen",,"","9843066397
",""
"Shanu Health and chill Dairy Products",,"","7708359528
",""
"Shree MEG Agency",,"","9080963742
",""
"Shree Super Market","33ANMPV3379G1ZI","","9787598368
",""
"Shreem Akilandeswari Fruits",,"","9894099093
",""
"Shri Sabari Cafe",,"","",""
"Shri Sangeetas","33AEEPR8083A1ZM","","9585591042
",""
"Sip and Bite",,"","8903832034
",""
"Sisha Ventures","33AEIFS2372H1Z0","","9884330046
","New No. 5, OLD No. 10B/3, 11th cross E Road Thillai nagar ,
Trichy"
"Siva Anbu Store",,"","9894332539
","No.1, Dhanarethinam Nagar, Thanjavur Road, Trichy"
"Siva Traders",,"","9965234661
",""
"Sivam Agencies",,"","9626364619
",""
"Skandhas Agency","33AKMPR3786L1ZE","","9486164613
",""
"SKN Maligai",,"","9626767394
",""
"SM Mydeen Stores",,"","8925060236
",""
"SMJ Hyper Mart","33CBDPP3640K1ZN","","8940391827
","Pudukottai Main Road, Sokkalingapuram, Mathur"
"SNG Enterprises","33AFCFS7516N1ZN","","","No.581/21, North Car Street, Illuppur Taluk, Viralimalai
Pudukkottai"
"Sonas Essence Agencies","33ACVPN1402C1Z0","","9842427356
",""
"Sree Lakshmi Traders",,"","9944283942
",""
"Sri Agencies",,"","9597982535
",""
"Sri Andavar Traders",,"","9894400544
","No.1/794 A, Thuppakki Nagra, Poolangudi Colony, HAPP POST,
Trichy"
"Sri Angalamman Maligai Stores",,"","7200096296
","No: 29/9, Om Sakthi Complex, Nadu Vetrilaikara Street,
Trichy"
"Sri Balaji Traders","33AHRPN0323M1Z7","","9894303403
",""
"Sri Durga Stores",,"","9789531895
",""
"Sri Hari Sweets",,"","9865097969
",""
"Sri Karpaga Vinayagar Caterers","33ADFFS4999G1ZM","","",""
"Sri Krishna",,"","9344349612
","No.50C, Ground Floor, A.R yse Complex, Tennur Road,
Trichy"
"Sri Krishna Maligai","33AYCPV7760Q1ZK","","8668132805
",""
"Sri Krishna Store",,"","9994018914
",""
"Sri Krishnaparamathma",,"","8072431429
","Balaji Nagar Main Road, Balaji nagar,
Kattur,
Trichy"
"Sri Kuberan Shopping Mart",,"","9843351567
","No.55, Sri Kuberan Nagar, Annai Nagar, Piratiyur,
Trichy"
"Sri Mangalam Jewellers","33AVGPS5271G1ZG","","9600977587
","No.96, 96-1, Trichy Main Road,
Lalgudi"
"Sri Murugan Maligai",,"","9843266654
","Hanumar Koil Street, Manachanallur, Trichy"
"Sri Neevi Cooldrinks",,"","9443168135
","No.49, Trunk Road, T.V.Koil, Trichy"
"Sri Nila Cool Drinks",,"","8940860056
","Opp to Sharadha TVS, Thiruvanaikovil, Trichy"
"Sri Prasanaa Agency","33AEAFS6109N1ZW","","7019124311
",""
"Sri Ranga Super Market","33BCZPH4823G1ZE","","8056644344
",""
"Sri Renga Fancy Stores",,"","8056616819
","No.85. Damodharan Krishnan Koil Street,
Opp to Girls Hr. Sec School
Srirangam Trichy"
"Sri Sai Bhavan",,"","9843501588
",""
"Sri Sakthi Muruga Agency","33DZHPM9777D1ZX","","9025248971
","Near Annail Illam, Ammamandapam Road,
Srirangam, Trichy"
"Sri Selva Vinayaga Agencies",,"","9894039073
",""
"Sri Siddhi Vinayagar Maligai",,"","9994263120
","Edhumalai Road, Manachanallur, Trichy 621216"
"Sri Subiksham Food Industries Pvt. Ltd","33ABDCS7414F1ZK","","9345083092
",""
"Sri Subiksham super stores - Periyar Nagar","33ABDCS7414F1ZK","","","Periyar Nagar,
Trichy"
"Sri Subiksham Super Stores - Kumbakonam","33ABDCS7414F1ZK","","",""
"Sri Subiksham Super Stores - Pazhur","33ABDCS7414F1ZK","","","Trichy"
"Sri Subiksham Super Stores - Thuraiyur","33ABDCS7414F1ZK","","",""
"Sri Trayee Vidya Gurukulam",,"","9787751281
",""
"Sri Vijayam Mart",,"","9791845432
","No.2/185, B (1), Ground Floor, Gandhi Salai Main Road,
Kailash Nagar, Kattur,
Trichy"
"Srv matriculation school",,"","7708318271
",""
"SR Department Store","33BZAPS8625P1ZQ","","7305052605
","Maruthi Nagar, No.1, Tolgate, Trichy"
"SRRC IIMT (Trichy)",,"","8056487875
",""
"SRV Matriculation Higher Sec. School",,"","9626660009
","Chennai Highway, Samayapuram Trichy"
"St. Antony's Agencies",,"","","Tamilnadu"
"St. Antony s Agencies",,"","9842478910
",""
"Stock Unloading",,"","",""
"Subhamangala Catering",,"","9865533844
",""
"Sundae Icecream",,"","8608548648
","Ramakrishna College,
Kariyamanikkam Road,
Samayapuram, Trichy"
"Suresh RTO",,"","",""
"Surya Sip & Bite",,"","9994560029
",""
"Swastika Enterprises",,"","9894998473
","Thiru Nagar, 1st Street, Karumandapam, Trichy"
"Swathantra Equipments & Services","33FXFPS2713P1Z0","","9940380129
","No.98/3, Trichy - Vayalur Main Road,
Uyyakondan Thirumalai,
Trichy"
"Syed Aadham",,"","",""
"Tamizh Petrol",,"","",""
"Tata Ace - Air",,"","",""
"Tata Ace - Lalgudi",,"","",""
"Tata Ace Charges",,"","",""
"Tata Ace Painting",,"","",""
"Tata Ace TN48BD7038 (EMI)",,"","",""
"Tata Motors",,"","",""
"TBS Super Market","33BZWPT8320GIZU","","6382429528
","No:47, Jeevanandham Street, Thanjai Main Road, Ariyamangalam,
Trichy"
"TCS",,"","",""
"TDS - PSM Salary",,"","",""
"Tea",,"","",""
"Tea Kadai Bench",,"","9786406008
","Melavaladi, Trichy"
"Tea Time",,"","6382773897
",""
"Teju Super Market",,"","9698794498
","25A, Shanmuga Complex, Annanagar,
Trichy Pudukkottai Main Road,
Mathur"
"Telephone Internet Expenses",,"","",""
"Temple View",,"","9842453102
",""
"The Kitchen",,"","8056904782
",""
"Theatre Canteen BHEL",,"","9080967399
","Kamarajapuram, BHEL Township, Trichy"
"Thunder Soda",,"","9787838994
","No:1, Amma Complex, Opp to Bharathidasan University, Suriyur,
Trichy"
"THUKILS GARMENTS",,"","8838081195
","A1 Complex, Salem Main Road, Near Bikshandar Koil Bus stop,
No.1, Tolgate, Trichy"
"Tire Mat",,"","",""
"TN 45 AK 8381",,"","",""
"TN 48 BD 7038",,"","",""
"TN48 BC0138",,"","",""
"Transport",,"","",""
"Transport & Labour",,"","",""
"Transportation & Travel Expenses",,"","",""
"Trichy Aryaas","33FOXPF4341E1ZJ","","9865386616
","Nagamangalam, Near by GST Tata Motors, Madurai Highway,
Nagamangalam, Trichy"
"Trichy Residency,","33FOXPS4341E1ZJ","","9843090400
",""
"TVS - Mirror",,"","",""
"Upperroom",,"","8056450777
",""
"V.K.N Milk Centre",,"","9940773388
","176, E.B.Road, Trichy"
"V.K.S Milk Depo",,"","9626478109
",""
"V.Zaheer Hussain",,"","",""
"V.Zaheer Hussain SI",,"","",""
"Vageesha Vidyalaya",,"","",""
"Vasan Medical Store",,"","8668175478
","Thudaiyur Main Road, Sirugambur Via,
Manchanallur - 621216"
"Vasantham Juice Spot - Andal Street",,"","9524105742
","Andal Street,
Trichy"
"Vasantham Juice Spot - Thillainagar",,"","9600214841
","9th cross, Thillainagar, Bata Showroom opposite, Trichy"
"Vasanthan Juice Spot - Puthur",,"","9790441216
","No:1A, Bishop Heber School complex, Puthur,
Trichy"
"Vekkaliamman Fruits","33AAMFV2490B1ZA","","8344598408
",""
"Velans Coffee Express",,"","8248711710
",""
"Vetrivel Medical",,"","9943507756
","No.9, Shanmuga Nagar, Trichy,"
"VEDAM MILK PRODUCT","33AANFV8828L1ZE","","",""
"Vignesh House Keeping",,"","",""
"Vignesh OT",,"","",""
"Vignesh Saha",,"","7867836157
","Srirangam, Trichy"
"Vignesh( Adv)",,"","",""
"Vigorous Scientific","33ARDPA5003F1ZP","","",""
"Vikram",,"","",""
"Voltas India Pvt Limited","33AAACV2809D1ZT","","",""
"waves resturant",,"","7339552814
",""
"Water Service",,"","",""
"Watercan",,"","",""
"Western Refrigeration Pvt Ltd","33AAACW0012H1Z1","","",""
"Yoga Kalyana Mandapam",,"","","Ammamandapam Road,
Srirangam,
Trichy - 620006"
"YSG Tasty dots","33FSOPS1939F1ZC","","9952993366
",""
"Zaheer Huassain OT",,"","",""
